Token: var; Lexeme: TK_VARDEC; Line: 1
Token: {; Lexeme: TK_BRO; Line: 12
Token: case; Lexeme: TK_CASE; Line: 13
Token: 2; Lexeme: TK_INT; Line: 13
Token: +; Lexeme: TK_ADD; Line: 13
Token: 3; Lexeme: TK_INT; Line: 13
Token: {; Lexeme: TK_BRO; Line: 13
Token: weirdFunction; Lexeme: TK_IDF; Line: 14
Token: (; Lexeme: TK_PARO; Line: 14
Token: a; Lexeme: TK_IDF; Line: 14
Token: ,; Lexeme: TK_COM; Line: 14
Token: b; Lexeme: TK_IDF; Line: 14
Token: ,; Lexeme: TK_COM; Line: 14
Token: 3; Lexeme: TK_INT; Line: 14
Token: ); Lexeme: TK_PARC; Line: 14
Token: ;; Lexeme: TK_SCOL; Line: 14
Token: }; Lexeme: TK_BRC; Line: 15
Token: }; Lexeme: TK_BRC; Line: 16
Token: }; Lexeme: TK_BRC; Line: 17
Token: func; Lexeme: TK_FUNC; Line: 19
Token: weirdFunction; Lexeme: TK_IDF; Line: 19
Token: (; Lexeme: TK_PARO; Line: 19
Token: firstParam; Lexeme: TK_IDF; Line: 19
Token: :; Lexeme: TK_COL; Line: 19
Token: int; Lexeme: TK_ITYPE; Line: 19
Token: ,; Lexeme: TK_COM; Line: 19
Token: secondParam; Lexeme: TK_IDF; Line: 19
Token: :; Lexeme: TK_COL; Line: 19
Token: real; Lexeme: TK_RTYPE; Line: 19
Token: ,; Lexeme: TK_COM; Line: 19
Token: thirdParam; Lexeme: TK_IDF; Line: 19
Token: :; Lexeme: TK_COL; Line: 19
Token: real; Lexeme: TK_RTYPE; Line: 19
Token: ); Lexeme: TK_PARC; Line: 19
Token: ->; Lexeme: TK_RET; Line: 19
Token: int; Lexeme: TK_ITYPE; Line: 19
Token: ,; Lexeme: TK_COM; Line: 19
Token: int; Lexeme: TK_ITYPE; Line: 19
Token: ,; Lexeme: TK_COM; Line: 19
Token: real; Lexeme: TK_RTYPE; Line: 19
Token: {; Lexeme: TK_BRO; Line: 19
Token: return; Lexeme: TK_RET; Line: 20
Token: 1; Lexeme: TK_INT; Line: 20
Token: ,; Lexeme: TK_COM; Line: 20
Token: 2; Lexeme: TK_INT; Line: 20
Token: ,; Lexeme: TK_COM; Line: 20
Token: 3; Lexeme: TK_INT; Line: 20
Token: ;; Lexeme: TK_SCOL; Line: 20
Token: }; Lexeme: TK_BRC; Line: 21
